,Estado,Lon,Lat,Clave,Est,Tmin
0,GRO,-99.75,16.76,76805,ACAPULCO,21.60645161
1,SON,-111.83,30.71,76113,ALTAR,6.055172413999999
2,CHIS,-93.9,16.24,76840,ARRIAGA,21.71290323
3,CAMP,-90.5,19.83,76695,CAMPECHE,17.34814815
4,BCS,-111.65,25.01,76402,CD. CONSTITUCIÓN,8.54516129
5,SON,-109.92,27.48,76258,CD. OBREGON,7.353571429
6,TAMPS,-99.17,23.75,76491,CD. VICTORIA,10.255999999999998
7,DF,-99.2,19.4,76680,CENTRAL TACUBAYA,8.629032257999999
8,QROO,-88.3,18.48,76750,CHETUMAL,18.38064516
9,CHIH,-106.13,28.67,76225,CHIHUAHUA,3.293548387
10,JAL,-103.46,19.73,76656,CIUDAD GUZMÁN,8.223333333
11,VER,-94.51,18.19,76741,COATZACOALCOS,19.48333333
12,CHIS,-92.13,16.23,76848,COMITAN,11.77096774
13,MOR,-99.23,18.89,76726,CUERNAVACA,11.40740741
14,DGO,-104.6,24.09,76423,DURANGO,4.635483871
15,SON,-110.8,27.95,76256,EMPALME,10.39677419
16,QROO,-88.05,19.57,76698,FPE. CARRILLO PUERTO,16.34666667
17,GTO,-101.29,21.01,76577,GUANAJUATO,8.0
18,CHIH,-105.67,26.92,76323,HGO. DEL PARRAL,3.874193548
19,OAX,-97.77,17.8,76773,HUAJUAPAN DE LEON,6.7
20,VER,-96.9,19.51,76687,JALAPA,10.025
21,BCS,-110.32,24.12,76405,LA PAZ,14.61
22,COL,-104.33,19.07,76654,MANZANILLO,22.77096774
23,SLP,-98.81,21.28,76585,MATLAPA,14.90952381
24,SIN,-106.41,23.22,76458,MAZATLAN,16.46451613
25,YUC,-89.65,20.95,76644,MERIDA,17.96551724
26,COAH,-101.42,26.91,76342,MONCLOVA,8.34137931
27,MICH,-101.18,19.7,76665,MORELIA,7.129032258
28,CHIH,-107.93,30.42,76122,NUEVO CASAS GRANDES,-0.329032258
29,VER,-97.1,18.85,76737,ORIZABA,11.32592593
30,HGO,-98.75,20.13,76632,PACHUCA,5.190322581
31,COAH,-100.52,28.7,76243,PIEDRAS NEGRAS,6.736666667000001
32,YUC,-89.65,21.28,76593,PROGRESO,18.68076923
33,PUE,-98.17,19.05,76685,PUEBLA,5.858064516000001
34,QRO,-100.4,20.58,76625,QUERETARO,9.322580645
35,COAH,-101.02,25.38,76390,SALTILLO,6.0709677420000006
36,CHIS,-92.63,16.73,76845,SAN CBAL. DE LAS CASAS,7.5933333329999995
37,SLP,-101.02,22.21,76539,SAN LUIS POTOSÍ,4.835483871
38,ZAC,-103.65,23.47,76471,SOMBRERETE,4.903225806
39,BCS,-112.25,27.28,76253,STA. ROSALIA,13.52083333
40,TAMPS,-97.85,22.22,76548,TAMPICO,16.055999999999997
41,CHIH,-107.82,28.95,76220,TEMOSACHIC,-3.483870968
42,NAY,-104.89,21.49,76556,TEPIC,13.72580645
43,TLAX,-98.24,19.31,76683,TLAXCALA,4.1
44,MEX,-99.71,19.29,76675,TOLUCA,0.164516129
45,HGO,-98.36,20.08,76634,TULANCINGO,6.0032258060000006
46,CHIS,-93.13,16.75,76843,TUXTLA GUTIÉRREZ,17.51935484
47,YUC,-88.2,20.69,76647,VALLADOLID,17.46428571
48,VER,-96.14,19.16,76692,VERACRUZ,19.12857143
49,ZAC,-102.57,22.78,76525,ZACATECAS,7.441935484
50,MICH,-102.32,19.98,76662,ZAMORA,7.448387097
51,GTO,-101.47,21.07,COMGJ,Comanjilla Gto.,6.193548387000001
52,GTO,-101.22,21.48,SFEGJ,San Felipe Gto.,2.596774194
53,MOR,-98.76,18.88,OCTMR,Ocuituco Mor.,8.677419355
54,SIN,-107.76,25.12,RAVSI,Estación Rancho Viejo Sin.,10.4516129
55,VER,-95.03,18.52,SONVC,Sontecomapan Ver.,14.74074074
56,GTO,-100.36,20.2,CORGJ,Coroneo Gto.,2.516129032
57,GTO,-101.11,21.32,LQMGJ,La Quemada Gto.,1.870967742
58,VER,-96.97,19.45,TAPVC,Tapachapan Ver.,10.56521739
59,GRO,-98.5,16.66,QTZGR,Quetzala Gro.,17.77419355
60,JAL,-103.27,22.11,76519,COLOTLAN,4.4192307689999994
61,GTO,-100.5,21.22,POZGJ,Pozos Gto.,4.741935484
62,SIN,-105.85,23.09,TORSI,Las Tortugas Sin.,12.32258065
63,PUE,-97.82,19.62,IXTPB,Ixtacamaxtitlán Pue.,1.322580645
64,GTO,-101.02,20.43,SMAGJ,San Miguel de Allende Gto.,4.5
65,MEX,-99.24,19.53,CLYMX,Calacoaya Méx.,5.338709677
66,OAX,-96.3,17.78,VANOX,Valle Nacional Oax.,17.11538462
67,VER,-96.39,19.26,LOFVC,Loma Fina Ver.,17.17241379
68,COAH,-100.92,25.44,ESLCL,E. C. Saltillo Coah.,6.379310345
69,OAX,-96.53,17.43,ATEOX,Atepec Oax.,7.387096774
70,SON,-110.29,30.98,CNNSO,Cananea Son.,3.333333333
71,DF,-99.2,19.31,CCH S,CCH Sur,7.474193548
72,DF,-99.13,19.42,ENP 7,Ezequiel A. Chavez,9.919354839
73,VER,-96.95,19.23,TOTVC,Totutla Ver.,9.444444444
74,PUE,-97.01,18.33,ZOQPB,Zoquitlán Pue.,6.838709677000001
75,MICH,-101.66,19.93,AMEMC,Aristeo Mercado Mich.,6.467741935
76,TAMPS,-99.55,24.57,VSMTP,Victoria-San Marcos Tamps.,10.7037037
77,GRO,-99.93,17.6,YXTGR,Yextla Gro.,10.19354839
78,VER,-96.97,19.55,OTIVC,Otilpan Ver.,9.25
79,GTO,-100.75,20.58,SMOGJ,San Miguel Octopan Gto.,6.822580645
80,OAX,-96.45,17.12,SMAOX,San Antonio Cuajimoloyas Oax.,2.677419355
81,BCS,-111.35,26.01,BLORETO,Bahía de Loreto B.C.S. SMN*,13.18709677
82,ZAC,-103.51,24.29,SGOZC,Santiago Zac.,3.758064516
83,BCS,-109.92,22.89,SLUBS,Cabo San Lucas B.C.S. SMN*,18.13548387
84,BCS,-110.22,23.45,TODOSLOSSANTOS,Todos los Santos B.C.S. SMN*,15.43548387
85,CAMP,-89.4,18.5,XPJCA,Xpujil Camp.,17.96666667
86,QROO,-89.72,19.46,DZILBACHEN,Dzilbachén Camp. SMN*,16.19333333
87,CHIS,-92.48,15.97,CATARINITAS,Catarinitas Chis. SGT*,17.09032258
88,CHIS,-92.05,16.12,ZAPALUTA,Zapaluta Chis. SGT*,11.29032258
89,CHIS,-91.73,16.91,YAQUINTELA,Yaquintela Chis. SGT*,15.1
90,DGO,-103.35,24.47,SCLDR,Santa Clara Dgo.,0.774193548
91,HGO,-98.13,20.14,LAGUNASGT,La Laguna Hgo. SGT*,5.6356
92,JAL,-103.42,20.44,TLAJOMULCO,Tlajomulco Jal. SMN*,5.95483871
93,NL,-100.01,25.27,AL2NL,Allende Dos N. L.,6.444444444
94,OAX,-95.48,16.59,RHOOX,Río Hondo Oax.,18.90322581
95,PUE,-96.85,18.4,TLPPB,Tlacotepec de Díaz Pue.,15.34482759
96,PUE,-98.0,20.22,NECAXASGT,Necaxa Pue. SGT*,9.900833333
97,QROO,-87.49,21.1,KANTUNILKIN,Kantunilkín Q. Roo. SMN*,17.93
98,SLP,-99.15,21.82,TANCHACHIN,Tanchachín S.L.P. SGT*,14.8
99,SON,-110.21,27.59,TORIM,Tórim Son. SGT*,6.541935484
100,SON,-109.97,27.61,TAJIMAROA,Tajimaroa Son. SGT*,6.251612903
101,SON,-109.89,27.75,AGCSO,Agua Caliente Son.,7.483333332999999
102,TAMPS,-99.15,22.99,AHUALULCOTP,Ahualulco Tamps. SGT*,13.60689655
103,TAMPS,-99.22,24.1,BARRETALI,Barretal Uno Tamps. SGT*,9.960714286
104,TAMPS,-99.43,24.25,TOMASENO,El Tomaseño Tamps. SGT*,9.060714286
105,CHIS,-92.26,14.91,TAPCP,Tapachula Chis.,22.31612903
106,AGS,-102.37,21.78,NGRAG,El Niagara Ags.,3.741935484
107,AGS,-102.79,21.81,MNLAG,Media Luna Ags.,3.483870968
108,AGS,-102.71,21.85,CALVILLO,Calvillo Ags. SMN*,3.874193548
109,AGS,-102.29,21.85,OBSAG,Observatorio de Aguascalientes Ags.,5.716129032
110,AGS,-102.31,21.9,AGSAG,Aguascalientes Ags.,6.403225806
111,AGS,-102.0,21.9,CNSAG,Los Conos Ags.,3.7903225810000003
112,AGS,-102.68,22.0,CDRAG,La Codorniz Ags.,7.112903226
113,AGS,-102.36,22.12,JCQAG,Jocoque Ags.,4.4193548389999995
114,AGS,-102.42,22.14,PECAG,Plutarco Elías Calles Ags.,5.564516128999999
115,AGS,-102.29,22.16,PBLAG,Pabellón Ags.,3.983870968
116,AGS,-102.47,22.19,ANVAG,Cincuenta Aniversario Ags.,5.422580645
117,AGS,-102.44,22.24,PTRAG,Derivadora Pabellón Ags.,5.064516128999999
118,AGS,-102.3,22.36,CSOAG,Cosío Ags.,0.790322581
119,BC,-114.72,29.73,CATAVINA,Cataviña B.C. SMN*,8.65
120,CAMP,-89.89,18.09,CALAKMUL,Calakmul Camp. SMN*,15.32580645
121,CAMP,-89.89,18.36,CALCA,Calakmul Camp. SMN*,17.32333333
122,CAMP,-91.05,18.18,CNDCA,Candelaria Camp.,17.22580645
123,CAMP,-92.09,18.25,PLZCA,Palizada Camp.,18.25806452
124,CAMP,-90.74,18.6,ESCCA,Escárcega Camp.,18.25925926
125,CAMP,-91.76,18.65,CARCA,El Carmen Camp.,21.31818182
126,CAMP,-91.18,18.97,SBNCA,Sabancuy Camp.,17.48275862
127,CAMP,-90.58,19.3,CANCA,Canasayab Camp.,16.5483871
128,CAMP,-90.72,19.36,CHMCA,Champotón Camp.,17.37037037
129,CAMP,-90.22,19.61,NYXCA,Noh-Yaxché Camp.,15.76666667
130,CAMP,-89.86,19.66,XCPCA,Xcupil Camp.,14.77419355
131,CAMP,-89.85,19.75,HPOCA,Hopelchen Camp.,15.23333333
132,CAMP,-90.54,19.84,CMPCA,Campeche Camp.,17.46428571
133,CAMP,-90.51,19.84,COBCA,Observatorio de Campeche Camp.,17.37777778
134,CAMP,-89.74,20.0,BOLCA,Bolonchen Camp.,17.53448276
135,CHIH,-107.97,26.94,TBRSI,San Francisco Chih.,7.641935483999999
136,CHIH,-107.92,27.22,URICH,Urique Chih. SMN*,11.56774194
137,CHIH,-107.91,27.22,URECH,Urique Chih.,9.206451612999999
138,CHIH,-108.54,27.42,CNDCH,Chínipas Chih.,6.74516129
139,CHIH,-108.21,28.21,BSSCH,Basaseachi Chih.,-2.312903226
140,CHIH,-107.48,28.48,AGZCH,Abraham González Chih.,-3.333333333
141,CHIH,-106.09,28.66,QIJCH,Observatorio de Chihuahua Chih.,3.438709677
142,CHIH,-107.85,28.95,TMCCH,Temósachic Chih.,-4.032258065
143,CHIH,-107.38,29.56,TNTCH,El Tintero Chih.,-0.322580645
144,CHIH,-104.41,29.56,OJNCH,Ojinaga Chih.,2.016129032
145,CHIH,-107.03,29.88,LJSCH,Las Lajas Chih.,-0.9032258059999999
146,CHIH,-107.93,30.38,CAGCH,Casas Grandes Chih.,-0.380645161
147,CHIS,-92.24,15.78,SMICP,San Miguel Chis.,13.83870968
148,CHIS,-93.06,16.45,SDOCP,Santo Domingo Chis.,16.08333333
149,CHIS,-91.97,15.85,PCOCP,Puente Concordia Chis.,13.90322581
150,CHIS,-92.67,15.92,REFCP,Reforma Chis.,13.87096774
151,CHIS,-93.08,16.16,REVCP,Revolución Mexicana Chis.,14.74193548
152,CHIS,-93.9,16.24,AROCP,Arriaga Chis.,21.71290323
153,CHIS,-92.78,16.4,ANGCP,Doctor Belisario Domínguez Chis.,16.70967742
154,CHIS,-92.8,16.55,ACACP,Acala Chis.,15.58064516
155,CHIS,-93.15,16.64,BOQCP,Boquerón Chis.,16.58064516
156,CHIS,-92.63,16.73,SCOCP,Observatorio de San Cristóbal Chis.,7.493333333
157,CHIS,-93.13,16.75,TXOCP,Observatorio de Tuxtla Gutiérrez Chis.,17.55806452
158,CHIS,-93.1,16.94,CHICP,Manuel Moreno Torres Chis.,17.96666667
159,CHIS,-93.12,16.98,GRICP,Grijalva Chis.,16.01612903
160,CHIS,-93.33,17.12,YAMCP,Yamonhó Chis.,15.92857143
161,CHIS,-93.01,17.25,TAPILULA,Tapilula Chis. SGT*,15.44541667
162,CHIS,-93.46,17.45,PENCP,Ángel Albino Corzo Chis.,19.26086957
163,CHIS,-92.35,17.57,SAACP,Salto de Agua Chis.,18.26785714
164,COAH,-101.02,25.38,SALCL,Observatorio de Saltillo Coah.,6.438709677
165,COAH,-101.02,25.38,STOCL,Saltillo Coah.,7.551724137999999
166,COAH,-102.98,25.76,SPECL,San Pedro Coah.,5.451612902999999
167,COAH,-101.42,26.91,MCVCL,Monclova Coah.,8.313793103
168,COAH,-102.06,26.98,CCGCL,Cuatro Ciénegas Coah.,5.620689655
169,COAH,-101.0,27.42,PRSCL,Progreso Coah.,4.310344828
170,COAH,-100.62,27.52,VCRCL,Venustiano Carranza Coah.,5.964285714
171,COAH,-100.53,28.71,PNGCL,Piedras Negras Coah.,6.911111111
172,COAH,-100.9,29.03,ZPTCL,Zapata Coah.,4.633333333
173,COAH,-100.95,29.21,CNTCL,El Centenario Coah.,4.666666667
174,COAH,-100.95,29.33,CDACL,Ciudad Acuña Coah.,4.814814815
175,COAH,-101.06,29.45,AMSCL,Internacional La Amistad Coah.,5.607142857
176,COL,-103.72,18.75,CDOCM,Cerro de Ortega Col.,18.32258065
177,COL,-103.77,18.81,LDACM,Laguna de Amela Col.,18.43333333
178,COL,-104.32,19.04,MNZCM,Manzanillo Col.,22.73870968
179,COL,-103.73,19.22,LPSCM,La Posta Col.,17.37096774
180,COL,-103.73,19.22,RDRCM,Radar Col.,19.96774194
181,COL,-103.61,19.25,BVSCM,Buena Vista Col.,15.5483871
182,DF,-99.2,19.3,DATDF,Desviación Alta Cd. de Méx.,8.806451613
183,DF,-99.17,19.45,CBIDF,Escuela Nacional de Ciencias Biológicas IPN Cd. de Méx. SMN*,9.119354839
184,DF,-99.07,19.47,SJADF,San Juan de Aragón Cd. de Méx.,6.661290322999999
185,DF,-99.14,19.52,CEADF,Campamento Amealco Cd. de Méx.,6.564516128999999
186,DGO,-104.75,23.96,GVCDR,Presidente Guadalupe Victoria Dgo.,4.6290322580000005
187,DGO,-103.96,24.0,FVLDR,Francisco Villa Dgo.,3.419354839
188,DGO,-104.67,24.03,DRGDR,Durango Dgo.,4.619354839
189,DGO,-104.75,24.5,CNTDR,Canatlán Dgo.,2.129032258
190,DGO,-104.81,24.54,CBRDR,Caboraca Dgo.,0.935483871
191,DGO,-105.44,25.22,SACDR,Salomé Acosta Dgo.,1.822580645
192,DGO,-104.07,25.26,AM2DR,Agustín Melgar Dgo. SMN*,1.251612903
193,DGO,-103.77,25.27,FZRDR,Francisco Zarco Dgo.,7.870967742
194,DGO,-103.52,25.53,CLRDR,Ciudad Lerdo Dgo.,7.096774194
195,DGO,-103.44,26.11,THODR,Tlahualilo Dgo.,4.258064516
