t       |w[0]       |w[1]       |y[i]       Error
0.1571  0.00000000  0.00000000  0.15643447  0.15643447
0.3142  0.00000000  0.00000000  0.30901699  0.30901699
0.4712  0.00000000  0.00000000  0.45399050  0.45399050
0.6283  0.00000000  0.00000000  0.58778525  0.58778525
0.7854  0.00000000  0.00000000  0.70710678  0.70710678
0.9425  0.00000000  0.00000000  0.80901699  0.80901699
1.0996  0.00000000  0.00000000  0.89100652  0.89100652
1.2566  0.00000000  0.00000000  0.95105652  0.95105652
1.4137  0.00000000  0.00000000  0.98768834  0.98768834
1.5708  0.00000000  0.00000000  1.00000000  1.00000000
1.7279  0.00000000  0.00000000  0.98768834  0.98768834
1.8850  0.00000000  0.00000000  0.95105652  0.95105652
2.0420  0.00000000  0.00000000  0.89100652  0.89100652
2.1991  0.00000000  0.00000000  0.80901699  0.80901699
2.3562  0.00000000  0.00000000  0.70710678  0.70710678
2.5133  0.00000000  0.00000000  0.58778525  0.58778525
2.6704  0.00000000  0.00000000  0.45399050  0.45399050
2.8274  0.00000000  0.00000000  0.30901699  0.30901699
2.9845  0.00000000  0.00000000  0.15643447  0.15643447
3.1416  0.00000000  0.00000000  0.00000000  0.00000000
3.2987  0.00000000  0.00000000  -0.15643447  0.15643447
3.4558  0.00000000  0.00000000  -0.30901699  0.30901699
3.6128  0.00000000  0.00000000  -0.45399050  0.45399050
3.7699  0.00000000  0.00000000  -0.58778525  0.58778525
3.9270  0.00000000  0.00000000  -0.70710678  0.70710678
4.0841  0.00000000  0.00000000  -0.80901699  0.80901699
4.2412  0.00000000  0.00000000  -0.89100652  0.89100652
4.3982  0.00000000  0.00000000  -0.95105652  0.95105652
4.5553  0.00000000  0.00000000  -0.98768834  0.98768834
4.7124  0.00000000  0.00000000  -1.00000000  1.00000000
4.8695  0.00000000  0.00000000  -0.98768834  0.98768834
5.0265  0.00000000  0.00000000  -0.95105652  0.95105652
5.1836  0.00000000  0.00000000  -0.89100652  0.89100652
5.3407  0.00000000  0.00000000  -0.80901699  0.80901699
5.4978  0.00000000  0.00000000  -0.70710678  0.70710678
5.6549  0.00000000  0.00000000  -0.58778525  0.58778525
5.8119  0.00000000  0.00000000  -0.45399050  0.45399050
5.9690  0.00000000  0.00000000  -0.30901699  0.30901699
6.1261  0.00000000  0.00000000  -0.15643447  0.15643447
6.2832  0.00000000  0.00000000  -0.00000000  0.00000000
