,Clave,Lon,Lat,Edo,Ciudad,Tmin,Tmed,Tmax,Lluvias,Edo2
0,COMGJ,-101.47,21.07,GTO,Comanjilla Gto.,6.193548387,15.84677419,25.5,0,GTO
1,SFEGJ,-101.22,21.48,GTO,San Felipe Gto.,2.596774194,11.25,19.90322581,3.2,GTO
2,OCTMR,-98.76,18.88,MOR,Ocuituco Mor.,8.677419355,17.41612903,26.15483871,0,MOR
3,RAVSI,-107.76,25.12,SIN,Estación Rancho Viejo Sin.,10.4516129,20.29032258,30.12903226,0.01,SIN
4,SONVC,-95.03,18.52,VER,Sontecomapan Ver.,14.74074074,20.00925926,25.27777778,181.53,VER
5,CORGJ,-100.36,20.2,GTO,Coroneo Gto.,2.516129032,13.08064516,23.64516129,1.2,GTO
6,LQMGJ,-101.11,21.32,GTO,La Quemada Gto.,1.870967742,11.5483871,21.22580645,0,GTO
7,TAPVC,-96.97,19.45,VER,Tapachapan Ver.,10.56521739,15.5,20.43478261,45.51,VER
8,QTZGR,-98.5,16.66,GRO,Quetzala Gro.,17.77419355,25.27419355,32.77419355,0,GRO
9,POZGJ,-100.5,21.22,GTO,Pozos Gto.,4.741935484,12.83870968,20.93548387,0,GTO
10,TORSI,-105.85,23.09,SIN,Las Tortugas Sin.,12.32258065,22.58064516,32.83870968,0,SIN
11,SMAGJ,-101.02,20.43,GTO,San Miguel de Allende Gto.,4.5,13.98387097,23.46774194,0.9,GTO
12,CLYMX,-99.24,19.53,MEX,Calacoaya Méx.,5.338709677,13.38709677,21.43548387,6.5,MEX
13,VANOX,-96.3,17.78,OAX,Valle Nacional Oax.,17.11538462,22.25,27.38461538,122.14,OAX
14,ESLCL,-100.92,25.44,COAH,E. C. Saltillo Coah.,6.379310345,12.85344828,19.32758621,10.45,COAH
15,ATEOX,-96.53,17.43,OAX,Atepec Oax.,7.387096774,16.01612903,24.64516129,4,OAX
16,CNNSO,-110.29,30.98,SON,Cananea Son.,3.333333333,11.275,19.21666667,34.3,SON
17,TOTVC,-96.95,19.23,VER,Totutla Ver.,9.444444444,15.2962963,21.14814815,14.72,VER
18,ZOQPB,-97.01,18.33,PUE,Zoquitlán Pue.,6.838709677,14.17741935,21.51612903,1.03,PUE
19,AMEMC,-101.66,19.93,MICH,Aristeo Mercado Mich.,6.467741935,15.47258065,24.47741935,0.2,MICH
20,YXTGR,-99.93,17.6,GRO,Yextla Gro.,10.19354839,17.37096774,24.5483871,0,GRO
21,OTIVC,-96.97,19.55,VER,Otilpan Ver.,9.25,14,18.75,56.6,VER
22,SMOGJ,-100.75,20.58,GTO,San Miguel Octopan Gto.,6.822580645,15.06451613,23.30645161,0.01,GTO
23,SMAOX,-96.45,17.12,OAX,San Antonio Cuajimoloyas Oax.,2.677419355,8.967741935,15.25806452,5.22,OAX
24,SGOZC,-103.51,24.29,ZAC,Santiago Zac.,3.758064516,10.07258065,16.38709677,5,ZAC
25,SLUBS,-109.92,22.89,BCS,Cabo San Lucas B.C.S. SMN*,18.13548387,22.69193548,27.2483871,0,BCS
